CD_REFNIS,TX_DESCR_NL,TX_DESCR_FR,AREA,POP
11001,Aartselaar,Aartselaar,1101.945388,14293
11002,Antwerpen,Anvers,20442.48797,525935
11004,Boechout,Boechout,2070.502488,13266
11005,Boom,Boom,738.7152054,18244
11007,Borsbeek,Borsbeek,389.6000791,10854
11008,Brasschaat,Brasschaat,3858.070211,37946
11009,Brecht,Brecht,9147.025753,29268
11013,Edegem,Edegem,871.4235204,22063
11016,Essen,Essen,4756.927072,19038
11018,Hemiksem,Hemiksem,549.2278847,11559
11021,Hove (Antwerpen),Hove (Anvers),602.1267735,8125
11022,Kalmthout,Kalmthout,5940.862928,18695
11023,Kapellen (Antwerpen),Kapellen (Anvers),3722.279241,26850
11024,Kontich,Kontich,2381.253038,21115
11025,Lint,Lint,565.2548166,8718
11029,Mortsel,Mortsel,777.8853756,26099
11030,Niel,Niel,532.0951605,10501
11035,Ranst,Ranst,4367.485865,19008
11037,Rumst,Rumst,2013.164202,15090
11038,Schelle,Schelle,777.440993,8518
11039,Schilde,Schilde,3609.567931,19652
11040,Schoten,Schoten,2949.741695,34517
11044,Stabroek,Stabroek,2144.50184,18710
11050,Wijnegem,Wijnegem,789.6261195,9816
11052,Wommelgem,Wommelgem,1299.141294,12865
11053,Wuustwezel,Wuustwezel,8940.773623,20970
11054,Zandhoven,Zandhoven,4008.207957,13025
11055,Zoersel,Zoersel,3871.011152,21944
11056,Zwijndrecht,Zwijndrecht,2009.496168,19056
11057,Malle,Malle,5186.16029,15561
12002,Berlaar,Berlaar,2450.410396,11527
12005,Bonheiden,Bonheiden,2919.350181,15010
12007,Bornem,Bornem,4624.110766,21366
12009,Duffel,Duffel,2260.482619,17491
12014,Heist-op-den-Berg,Heist-op-den-Berg,8670.215477,42681
12021,Lier,Lierre,4985.950877,36242
12025,Mechelen,Malines,6578.592978,86616
12026,Nijlen,Nijlen,3920.547167,22949
12029,Putte,Putte,3516.510194,17800
12035,Sint-Katelijne-Waver,Sint-Katelijne-Waver,3616.510138,20792
12040,Willebroek,Willebroek,2735.513622,26462
12041,Puurs-Sint-Amands,Puurs-Sint-Amands,4910.39126,25882
13001,Arendonk,Arendonk,5514.275407,13293
13002,Baarle-Hertog,Baerle-Duc,741.5291546,2760
13003,Balen,Balen,7300.401176,22618
13004,Beerse,Beerse,3735.184309,18084
13006,Dessel,Dessel,2743.97759,9598
13008,Geel,Geel,11026.0914,40353
13010,Grobbendonk,Grobbendonk,2836.771153,11155
13011,Herentals,Herentals,4796.367846,28177
13012,Herenthout,Herenthout,2360.885713,9061
13013,Herselt,Herselt,5237.492476,14523
13014,Hoogstraten,Hoogstraten,10539.49811,21355
13016,Hulshout,Hulshout,1736.582449,10424
13017,Kasterlee,Kasterlee,7226.983455,18655
13019,Lille,Lille,5962.08735,16529
13021,Meerhout,Meerhout,3653.402902,10361
13023,Merksplas,Merksplas,4462.198403,8600
13025,Mol,Mol,11454.71973,36825
13029,Olen,Olen,2312.300162,12505
13031,Oud-Turnhout,Oud-Turnhout,3916.867721,13662
13035,Ravels,Ravels,9513.792452,15009
13036,Retie,Retie,4851.349276,11396
13037,Rijkevorsel,Rijkevorsel,4684.657095,12060
13040,Turnhout,Turnhout,5670.548215,44664
13044,Vorselaar,Vorselaar,2762.232708,7861
13046,Vosselaar,Vosselaar,1183.030602,11187
13049,Westerlo,Westerlo,5539.365802,25051
13053,Laakdal,Laakdal,4242.561685,16101
21001,Anderlecht,Anderlecht,1791.204224,119714
21002,Oudergem,Auderghem,897.2028532,34013
21003,Sint-Agatha-Berchem,Berchem-Sainte-Agathe,294.7910061,25179
21004,Brussel,Bruxelles,3307.572323,181726
21005,Etterbeek,Etterbeek,317.5347303,48367
21006,Evere,Evere,512.8598113,41763
21007,Vorst (Brussel-Hoofdstad),Forest (Bruxelles-Capitale),630.4014021,56289
21008,Ganshoren,Ganshoren,243.3709838,24902
21009,Elsene,Ixelles,640.6541621,86876
21010,Jette,Jette,518.9033831,52536
21011,Koekelberg,Koekelberg,118.7700276,21990
21012,Sint-Jans-Molenbeek,Molenbeek-Saint-Jean,600.5647444,97462
21013,Sint-Gillis,Saint-Gilles,252.6967057,50267
21014,Sint-Joost-ten-Node,Saint-Josse-ten-Noode,117.718102,27457
21015,Schaarbeek,Schaerbeek,789.8015344,133309
21016,Ukkel,Uccle,2286.526393,83024
21017,Watermaal-Bosvoorde,Watermael-Boitsfort,1297.692835,25184
21018,Sint-Lambrechts-Woluwe,Woluwe-Saint-Lambert,730.101513,56660
21019,Sint-Pieters-Woluwe,Woluwe-Saint-Pierre,894.0379023,41824
23002,Asse,Asse,5022.842539,33158
23003,Beersel,Beersel,3039.819187,25251
23009,Bever,Biévène,1924.148492,2159
23016,Dilbeek,Dilbeek,4147.466499,42847
23023,Galmaarden,Gammerages,3528.958202,8746
23024,Gooik,Gooik,4020.931052,9170
23025,Grimbergen,Grimbergen,3866.988952,37542
23027,Halle (Halle-Vilvoorde),Hal (Hal-Vilvorde),4498.387591,39540
23032,Herne,Herne,4466.045199,6665
23033,Hoeilaart,Hoeilaart,2053.443461,11321
23038,Kampenhout,Kampenhout,3364.966118,11972
23039,Kapelle-op-den-Bos,Kapelle-op-den-Bos,1536.549634,9413
23044,Liedekerke,Liedekerke,1016.183706,13295
23045,Londerzeel,Londerzeel,3653.163566,18749
23047,Machelen (Halle-Vilvoorde),Machelen (Hal-Vilvorde),1149.423799,15469
23050,Meise,Meise,3506.913998,19411
23052,Merchtem,Merchtem,3690.201766,16583
23060,Opwijk,Opwijk,1992.03694,14547
23062,Overijse,Overijse,4502.709087,25403
23064,Pepingen,Pepingen,3593.228108,4479
23077,Sint-Pieters-Leeuw,Sint-Pieters-Leeuw,4066.005983,34228
23081,Steenokkerzeel,Steenokkerzeel,2363.162062,12135
23086,Ternat,Ternat,2471.896526,15746
23088,Vilvoorde,Vilvorde,2157.343659,44727
23094,Zaventem,Zaventem,2772.35061,34368
23096,Zemst,Zemst,4322.873152,23358
23097,Roosdaal,Roosdaal,2192.913271,11631
23098,Drogenbos,Drogenbos,249.3781254,5689
23099,Kraainem,Kraainem,584.2841709,13730
23100,Linkebeek,Linkebeek,419.5818217,4671
23101,Sint-Genesius-Rode,Rhode-Saint-Genèse,2275.186298,18387
23102,Wemmel,Wemmel,877.2907554,16491
23103,Wezembeek-Oppem,Wezembeek-Oppem,686.2691452,14258
23104,Lennik,Lennik,3112.413432,9074
